name,accession,date,loc
hCoV-19/Albania/CO-00602-XXK000_1740_3/2021|EPI_ISL_9237997|2021-12-03,EPI_ISL_9237997,2021-12-03,Albania
hCoV-19/Albania/un-ChVir25862_04/2021|EPI_ISL_3123560|2021-06-16,EPI_ISL_3123560,2021-06-16,Albania
hCoV-19/Algeria/36421/2021|EPI_ISL_3161806|2021-05-10,EPI_ISL_3161806,2021-05-10,Algeria
hCoV-19/Algeria/57433/2021|EPI_ISL_3375633|2021-07-13,EPI_ISL_3375633,2021-07-13,Algeria
hCoV-19/Algeria/90942/2021|EPI_ISL_8035611|2021-11-20,EPI_ISL_8035611,2021-11-20,Algeria
hCoV-19/Algeria/90944/2021|EPI_ISL_8035613|2021-11-20,EPI_ISL_8035613,2021-11-20,Algeria
hCoV-19/Algeria/95495-46/2021|EPI_ISL_7661152|2021-12-10,EPI_ISL_7661152,2021-12-10,Algeria
hCoV-19/Algeria/G38599-8859/2020|EPI_ISL_766871|2020-06-20,EPI_ISL_766871,2020-06-20,Algeria
hCoV-19/Andorra/202552/2020|EPI_ISL_539496|2020-03-13,EPI_ISL_539496,2020-03-13,Andorra
hCoV-19/Andorra/AND-235_212521294601_COV-GC/2021|EPI_ISL_4949311|2021-09-02,EPI_ISL_4949311,2021-09-02,Andorra
hCoV-19/Andorra/AND-245_212871383501_COV-GC/2021|EPI_ISL_6125410|2021-10-07,EPI_ISL_6125410,2021-10-07,Andorra
hCoV-19/Andorra/AND-247_212871383301_COV-GC/2021|EPI_ISL_6125407|2021-10-01,EPI_ISL_6125407,2021-10-01,Andorra
hCoV-19/Andorra/AND-247_213001323001_COV-GC/2021|EPI_ISL_7589518|2021-10-22,EPI_ISL_7589518,2021-10-22,Andorra
hCoV-19/Andorra/AND-249_213361423101_COV-GC/2021|EPI_ISL_7934519|2021-11-29,EPI_ISL_7934519,2021-11-29,Andorra
hCoV-19/Andorra/AND-249_213431458701_COV-GC/2021|EPI_ISL_8185532|2021-12-07,EPI_ISL_8185532,2021-12-07,Andorra
hCoV-19/Andorra/AND-251_220121386901_COV-GC/2022|EPI_ISL_9458613|2022-01-08,EPI_ISL_9458613,2022-01-08,Andorra
