name,accession,date,loc
hCoV-19/Afghanistan/IMB07964/2020|EPI_ISL_1001001|2020-05-30,EPI_ISL_1001001,2020-05-30,Afghanistan
hCoV-19/Albania/un-ChVir25862_15/2021|EPI_ISL_3123565|2021-07-09,EPI_ISL_3123565,2021-07-09,Albania
hCoV-19/Albania/un-ChVir25862_21/2021|EPI_ISL_3125816|2021-07-13,EPI_ISL_3125816,2021-07-13,Albania
hCoV-19/Algeria/00003/2021|EPI_ISL_5052208|2021-08-01,EPI_ISL_5052208,2021-08-01,Algeria
hCoV-19/Algeria/03594/2021|EPI_ISL_5052209|2021-08-14,EPI_ISL_5052209,2021-08-14,Algeria
hCoV-19/Algeria/17416/2021|EPI_ISL_5052205|2021-07-08,EPI_ISL_5052205,2021-07-08,Algeria
hCoV-19/Algeria/51743/2021|EPI_ISL_3375632|2021-06-30,EPI_ISL_3375632,2021-06-30,Algeria
hCoV-19/Algeria/58/2021|EPI_ISL_4004796|2021-01-22,EPI_ISL_4004796,2021-01-22,Algeria
hCoV-19/Algeria/60136/2021|EPI_ISL_5052204|2021-07-17,EPI_ISL_5052204,2021-07-17,Algeria
hCoV-19/Algeria/76465/2021|EPI_ISL_5052212|2021-09-01,EPI_ISL_5052212,2021-09-01,Algeria
hCoV-19/Algeria/G0638_2264/2020|EPI_ISL_418241|2020-03-02,EPI_ISL_418241,2020-03-02,Algeria
hCoV-19/Algeria/G37138-8854/2020|EPI_ISL_766867|2020-06-18,EPI_ISL_766867,2020-06-18,Algeria
hCoV-19/Algeria/SMII/2021|EPI_ISL_3161811|2021-06-23,EPI_ISL_3161811,2021-06-23,Algeria
hCoV-19/Andorra/AND-233_2118213842_GC/2021|EPI_ISL_3384885|2021-06-25,EPI_ISL_3384885,2021-06-25,Andorra
hCoV-19/Andorra/AND-234_2118213840_GC/2021|EPI_ISL_3384888|2021-06-25,EPI_ISL_3384888,2021-06-25,Andorra
hCoV-19/Andorra/AND-234_2120214126_GC/2021|EPI_ISL_3384892|2021-07-12,EPI_ISL_3384892,2021-07-12,Andorra
hCoV-19/Andorra/AND-235_212521294601_COV-GC/2021|EPI_ISL_4949311|2021-09-02,EPI_ISL_4949311,2021-09-02,Andorra
