name,accession,date,loc
hCoV-19/Afghanistan/IMB07964/2020|EPI_ISL_1001001|2020-05-30,EPI_ISL_1001001,2020-05-30,Afghanistan
hCoV-19/Afghanistan/IMB07968/2020|EPI_ISL_1001003|2020-06-15,EPI_ISL_1001003,2020-06-15,Afghanistan
hCoV-19/Albania/210901052/2021|EPI_ISL_1299861|2021-03-01,EPI_ISL_1299861,2021-03-01,Albania
hCoV-19/Albania/210901054/2020|EPI_ISL_1299863|2020-12-10,EPI_ISL_1299863,2020-12-10,Albania
hCoV-19/Albania/210901055/2020|EPI_ISL_1299864|2020-12-14,EPI_ISL_1299864,2020-12-14,Albania
hCoV-19/Albania/210901063/2021|EPI_ISL_1299871|2021-03-08,EPI_ISL_1299871,2021-03-08,Albania
hCoV-19/Albania/210901066/2021|EPI_ISL_1299874|2021-01-12,EPI_ISL_1299874,2021-01-12,Albania
hCoV-19/Albania/211060667/2021|EPI_ISL_1299884|2021-03-11,EPI_ISL_1299884,2021-03-11,Albania
hCoV-19/Albania/Cento-30536457/2020|EPI_ISL_815257|2020-09-05,EPI_ISL_815257,2020-09-05,Albania
hCoV-19/Andorra/202552/2020|EPI_ISL_539496|2020-03-13,EPI_ISL_539496,2020-03-13,Andorra
hCoV-19/Angola/CERI-KRISP-K012707/2021|EPI_ISL_2493026|2021-03-22,EPI_ISL_2493026,2021-03-22,Angola
hCoV-19/Angola/CERI-KRISP-K013423/2020|EPI_ISL_2492777|2020-08-25,EPI_ISL_2492777,2020-08-25,Angola
hCoV-19/Angola/CERI-KRISP-K013431/2021|EPI_ISL_2492739|2021-04-09,EPI_ISL_2492739,2021-04-09,Angola
hCoV-19/Angola/CERI-KRISP-K013496/2020|EPI_ISL_2493084|2020-12-07,EPI_ISL_2493084,2020-12-07,Angola
hCoV-19/Angola/CERI-KRISP-K013525/2020|EPI_ISL_2492791|2020-11-24,EPI_ISL_2492791,2020-11-24,Angola
hCoV-19/Angola/CERI-KRISP-K013657/2020|EPI_ISL_2492846|2020-09-25,EPI_ISL_2492846,2020-09-25,Angola
hCoV-19/Angola/CERI-KRISP-K013674/2020|EPI_ISL_2492649|2020-09-30,EPI_ISL_2492649,2020-09-30,Angola
hCoV-19/Angola/CERI-KRISP-K015455/2021|EPI_ISL_2617182|2021-05-04,EPI_ISL_2617182,2021-05-04,Angola
hCoV-19/Angola/CERI-KRISP-K015458/2021|EPI_ISL_2617181|2021-05-03,EPI_ISL_2617181,2021-05-03,Angola
hCoV-19/Angola/CERI-KRISP-K015459/2021|EPI_ISL_2617133|2021-05-05,EPI_ISL_2617133,2021-05-05,Angola
hCoV-19/Angola/CERI-KRISP-K015470/2021|EPI_ISL_2617056|2021-05-14,EPI_ISL_2617056,2021-05-14,Angola
hCoV-19/Angola/KRISP-K009709/2020|EPI_ISL_1347898|2020-06-27,EPI_ISL_1347898,2020-06-27,Angola
hCoV-19/Angola/KRISP-K010853/2021|EPI_ISL_1545286|2021-02-22,EPI_ISL_1545286,2021-02-22,Angola
hCoV-19/Angola/KRISP-K011758/2021|EPI_ISL_1545375|2021-02-23,EPI_ISL_1545375,2021-02-23,Angola
hCoV-19/Argentina/INEI096614/2020|EPI_ISL_2104759|2020-11-09,EPI_ISL_2104759,2020-11-09,Argentina
