taxon,lineage,conflict,ambiguity_score,scorpio_call,scorpio_support,scorpio_conflict,scorpio_notes,version,pangolin_version,scorpio_version,constellation_version,is_designated,qc_status,qc_notes,note
hCoV-19/Wuhan/WH01/2019|EPI_ISL_406798|2019-12-26,B,0.0,1.0,,,,,PANGO-v1.2.133,4.0.2,0.3.16,v0.1.4,True,pass,Ambiguous_content:0.02,Assigned from designation hash.
hCoV-19/Wuhan/IPBCAMS-WH-02/2019|EPI_ISL_403931|2019-12-30,B,0.0,1.0,,,,,PANGO-v1.2.133,4.0.2,0.3.16,v0.1.4,True,pass,Ambiguous_content:0.02,Assigned from designation hash.
hCoV-19/Indonesia/NT-EIJK14/2020|EPI_ISL_766033|2020-03-28,B,0.35,1.0,,,,,PANGO-v1.2.133,4.0.2,0.3.16,v0.1.4,True,pass,Ambiguous_content:0.02,Assigned from designation hash.
hCoV-19/Guangdong/DG-S9-P0045/2020|EPI_ISL_413868|2020-02-28,B,0.01,0.91,,,,,PLEARN-v1.2.133,4.0.2,0.3.16,v0.1.4,False,pass,Ambiguous_content:0.1,
hCoV-19/Sweden/01/2020|EPI_ISL_411951|2020-02-07,B,0.0,1.0,,,,,PANGO-v1.2.133,4.0.2,0.3.16,v0.1.4,True,pass,Ambiguous_content:0.02,Assigned from designation hash.
hCoV-19/Hong_Kong/HKPU23_2601/2020|EPI_ISL_417183|2020-01-30,B.43,0.0,0.97,,,,,PANGO-v1.2.133,4.0.2,0.3.16,v0.1.4,True,pass,Ambiguous_content:0.04,Assigned from designation hash.
hCoV-19/Thailand/NIH-190/2020|EPI_ISL_434695|2020-01-22,B,0.0,0.93,,,,,PLEARN-v1.2.133,4.0.2,0.3.16,v0.1.4,False,pass,Ambiguous_content:0.09,
hCoV-19/India/MH-1-31/2020|EPI_ISL_413523|2020-01-31,B,0.0,1.0,,,,,PANGO-v1.2.133,4.0.2,0.3.16,v0.1.4,True,pass,Ambiguous_content:0.02,Assigned from designation hash.
hCoV-19/South_Korea/KCDC05/2020|EPI_ISL_412869|2020-01-30,A,0.06,1.0,,,,,PANGO-v1.2.133,4.0.2,0.3.16,v0.1.4,True,pass,Ambiguous_content:0.02,Assigned from designation hash.
hCoV-19/South_Korea/KCDC2061/2020|EPI_ISL_497962|2020-01-30,A,0.06,1.0,,,,,PANGO-v1.2.133,4.0.2,0.3.16,v0.1.4,True,pass,Ambiguous_content:0.02,Assigned from designation hash.
hCoV-19/Thailand/SI202872-NT/2020|EPI_ISL_437613|2020-02-25,A.6,0.07,1.0,,,,,PANGO-v1.2.133,4.0.2,0.3.16,v0.1.4,True,pass,Ambiguous_content:0.02,Assigned from designation hash.
