name,accession,date,loc
hCoV-19/Afghanistan/IMB15485/2021|EPI_ISL_1034755|2021-01-21,EPI_ISL_1034755,2021-01-21,Afghanistan
hCoV-19/Albania/210901049/2021|EPI_ISL_1299858|2021-01-31,EPI_ISL_1299858,2021-01-31,Albania
hCoV-19/Albania/210901051/2021|EPI_ISL_1299860|2021-01-28,EPI_ISL_1299860,2021-01-28,Albania
hCoV-19/Albania/210901072/2021|EPI_ISL_1299878|2021-01-23,EPI_ISL_1299878,2021-01-23,Albania
hCoV-19/Albania/210901076/2021|EPI_ISL_1299882|2021-01-29,EPI_ISL_1299882,2021-01-29,Albania
hCoV-19/Albania/210901077/2021|EPI_ISL_1299883|2021-01-29,EPI_ISL_1299883,2021-01-29,Albania
hCoV-19/Albania/211060667/2021|EPI_ISL_1299884|2021-03-11,EPI_ISL_1299884,2021-03-11,Albania
hCoV-19/Angola/KRISP-K009730/2021|EPI_ISL_1347910|2021-01-27,EPI_ISL_1347910,2021-01-27,Angola
hCoV-19/Angola/KRISP-K009747/2021|EPI_ISL_1347918|2021-01-31,EPI_ISL_1347918,2021-01-31,Angola
hCoV-19/Angola/KRISP-K010849/2021|EPI_ISL_1545282|2021-02-16,EPI_ISL_1545282,2021-02-16,Angola
hCoV-19/Angola/KRISP-K010851/2021|EPI_ISL_1545284|2021-02-22,EPI_ISL_1545284,2021-02-22,Angola
hCoV-19/Angola/KRISP-K010857/2021|EPI_ISL_1545289|2021-01-28,EPI_ISL_1545289,2021-01-28,Angola
hCoV-19/Angola/KRISP-K011682/2021|EPI_ISL_1545301|2021-03-10,EPI_ISL_1545301,2021-03-10,Angola
hCoV-19/Argentina/C97133/2020|EPI_ISL_778843|2020-11-20,EPI_ISL_778843,2020-11-20,Argentina
hCoV-19/Argentina/INEI100632/2021|EPI_ISL_2104813|2021-01-29,EPI_ISL_2104813,2021-01-29,Argentina
hCoV-19/Argentina/INEI100633/2021|EPI_ISL_2104814|2021-01-29,EPI_ISL_2104814,2021-01-29,Argentina
hCoV-19/Argentina/INEI100634/2021|EPI_ISL_2104815|2021-01-28,EPI_ISL_2104815,2021-01-28,Argentina
hCoV-19/Argentina/INEI100828/2021|EPI_ISL_2104816|2021-02-01,EPI_ISL_2104816,2021-02-01,Argentina
hCoV-19/Argentina/INEI100835/2021|EPI_ISL_2104818|2021-02-01,EPI_ISL_2104818,2021-02-01,Argentina
hCoV-19/Argentina/INEI100848/2021|EPI_ISL_2104819|2021-01-29,EPI_ISL_2104819,2021-01-29,Argentina
hCoV-19/Argentina/INEI101889/2021|EPI_ISL_2135144|2021-02-23,EPI_ISL_2135144,2021-02-23,Argentina
hCoV-19/Argentina/INEI102300/2021|EPI_ISL_2135156|2021-03-10,EPI_ISL_2135156,2021-03-10,Argentina
hCoV-19/Argentina/INEI102302/2021|EPI_ISL_2135158|2021-03-11,EPI_ISL_2135158,2021-03-11,Argentina
hCoV-19/Argentina/INEI102343/2021|EPI_ISL_2135171|2021-03-14,EPI_ISL_2135171,2021-03-14,Argentina
hCoV-19/Argentina/INEI102344/2021|EPI_ISL_2135172|2021-03-14,EPI_ISL_2135172,2021-03-14,Argentina
hCoV-19/Argentina/INEI103290/2021|EPI_ISL_2136093|2021-03-29,EPI_ISL_2136093,2021-03-29,Argentina
hCoV-19/Argentina/INEI103352/2021|EPI_ISL_2135336|2021-04-03,EPI_ISL_2135336,2021-04-03,Argentina
hCoV-19/Argentina/INEI103354/2021|EPI_ISL_2135337|2021-04-03,EPI_ISL_2135337,2021-04-03,Argentina
hCoV-19/Argentina/INEI104582/2021|EPI_ISL_2158744|2021-05-04,EPI_ISL_2158744,2021-05-04,Argentina
hCoV-19/Argentina/PAIS-A0447/2020|EPI_ISL_1395777|2020-12-29,EPI_ISL_1395777,2020-12-29,Argentina
