taxon,lineage,conflict,ambiguity_score,scorpio_call,scorpio_support,scorpio_conflict,scorpio_notes,version,pangolin_version,scorpio_version,constellation_version,is_designated,qc_status,qc_notes,note
hCoV-19/Wuhan/Hu-1/2019|EPI_ISL_402125|2019-12-31,B,0.0,1.0,,,,,PANGO-v1.2.133,4.0.2,0.3.16,v0.1.4,True,pass,Ambiguous_content:0.02,Assigned from designation hash.
hCoV-19/Wuhan/WH01/2019|EPI_ISL_406798|2019-12-26,B,0.0,1.0,,,,,PANGO-v1.2.133,4.0.2,0.3.16,v0.1.4,True,pass,Ambiguous_content:0.02,Assigned from designation hash.
hCoV-19/France/IDF-0515/2020|EPI_ISL_408430|2020-01-29,B,0.0,1.0,,,,,PANGO-v1.2.133,4.0.2,0.3.16,v0.1.4,True,pass,Ambiguous_content:0.02,Assigned from designation hash.
hCoV-19/France/IDF_HB_112001106076/2020|EPI_ISL_940552|2020-01-29,B,0.0,0.99,,,,,PANGO-v1.2.133,4.0.2,0.3.16,v0.1.4,True,pass,Ambiguous_content:0.02,Assigned from designation hash.
hCoV-19/Italy/LAZ-INMI1-cs/2020|EPI_ISL_410546|2020-01-31,B,0.0,1.0,,,,,PANGO-v1.2.133,4.0.2,0.3.16,v0.1.4,True,pass,Ambiguous_content:0.02,Assigned from designation hash.
hCoV-19/Mongolia/3631/2020|EPI_ISL_1805651|2020-03-18,B.40,0.0,1.0,,,,,PLEARN-v1.2.133,4.0.2,0.3.16,v0.1.4,False,pass,Ambiguous_content:0.02,
hCoV-19/Taiwan/TSGH-17/2020|EPI_ISL_436102|2020-03-19,B.31,0.0,1.0,,,,,PANGO-v1.2.133,4.0.2,0.3.16,v0.1.4,True,pass,Ambiguous_content:0.02,Assigned from designation hash.
hCoV-19/Bahrain/BAH-20/2020|EPI_ISL_483561|2020-04-08,B.31,0.0,0.96,,,,,PANGO-v1.2.133,4.0.2,0.3.16,v0.1.4,True,pass,Ambiguous_content:0.04,Assigned from designation hash.
hCoV-19/Canada/Qc-LSPQ-L00210314/2020|EPI_ISL_535716|2020-02-25,B.4,0.08,1.0,,,,,PANGO-v1.2.133,4.0.2,0.3.16,v0.1.4,True,pass,Ambiguous_content:0.02,Assigned from designation hash.
hCoV-19/Canada/BC_17397/2020|EPI_ISL_415580|2020-02-28,B.4,0.0,0.99,,,,,PANGO-v1.2.133,4.0.2,0.3.16,v0.1.4,True,pass,Ambiguous_content:0.03,Assigned from designation hash.
hCoV-19/Taiwan/TSGH-26/2020|EPI_ISL_447252|2020-02-25,B.4,0.0,1.0,,,,,PANGO-v1.2.133,4.0.2,0.3.16,v0.1.4,True,pass,Ambiguous_content:0.02,Assigned from designation hash.
hCoV-19/Sri_Lanka/CDR503/2020|EPI_ISL_525479|2020-03-31,B.4.7,0.0,1.0,,,,,PANGO-v1.2.133,4.0.2,0.3.16,v0.1.4,True,pass,Ambiguous_content:0.02,Assigned from designation hash.
hCoV-19/Kuwait/KU09/2020|EPI_ISL_416541|2020-03-02,B.4,0.0,1.0,,,,,PANGO-v1.2.133,4.0.2,0.3.16,v0.1.4,True,pass,Ambiguous_content:0.02,Assigned from designation hash.
hCoV-19/Oman/RESP-20-797/2020|EPI_ISL_457701|2020-02-23,B.4,0.0,1.0,,,,,PANGO-v1.2.133,4.0.2,0.3.16,v0.1.4,True,pass,Ambiguous_content:0.02,Assigned from designation hash.
hCoV-19/Lebanon/S5_762/2020|EPI_ISL_450512|2020-02-27,B.4,0.0,1.0,,,,,PANGO-v1.2.133,4.0.2,0.3.16,v0.1.4,True,pass,Ambiguous_content:0.02,Assigned from designation hash.
hCoV-19/Oman/RESP-20-837/2020|EPI_ISL_457704|2020-02-24,B.4,0.0,1.0,,,,,PANGO-v1.2.133,4.0.2,0.3.16,v0.1.4,True,pass,Ambiguous_content:0.02,Assigned from designation hash.
hCoV-19/Philippines/PGC01/2020|EPI_ISL_431833|2020-03-22,B.6,0.0,0.98,,,,,PANGO-v1.2.133,4.0.2,0.3.16,v0.1.4,True,pass,Ambiguous_content:0.04,Assigned from designation hash.
hCoV-19/Philippines/PGC05/2020|EPI_ISL_434557|2020-03-27,B.6,0.0,0.98,,,,,PANGO-v1.2.133,4.0.2,0.3.16,v0.1.4,True,pass,Ambiguous_content:0.04,Assigned from designation hash.
hCoV-19/Singapore/1056/2020|EPI_ISL_574541|2020-04-01,B.6.6,0.21,0.95,,,,,PLEARN-v1.2.133,4.0.2,0.3.16,v0.1.4,False,pass,Ambiguous_content:0.07,Alt assignments: B.6;B.6.6
hCoV-19/Fiji/FJ008/2020|EPI_ISL_4820287|2020-04-03,B.6.6,0.25,1.0,,,,,PLEARN-v1.2.133,4.0.2,0.3.16,v0.1.4,False,pass,Ambiguous_content:0.02,Alt assignments: B.1;B.6.6
hCoV-19/Singapore/1064/2020|EPI_ISL_583899|2020-08-17,B.6.6,0.0,1.0,,,,,PANGO-v1.2.133,4.0.2,0.3.16,v0.1.4,True,pass,Ambiguous_content:0.02,Assigned from designation hash.
hCoV-19/Singapore/1318/2020|EPI_ISL_648806|2020-05-21,B.6.6,0.0,1.0,,,,,PANGO-v1.2.133,4.0.2,0.3.16,v0.1.4,True,pass,Ambiguous_content:0.02,Assigned from designation hash.
hCoV-19/Hong_Kong/CUHK-NC3317/2020|EPI_ISL_3066037|2020-05-25,B.6,0.01,1.0,,,,,PLEARN-v1.2.133,4.0.2,0.3.16,v0.1.4,False,pass,Ambiguous_content:0.02,Alt assignments: B.1;B.6
hCoV-19/Guam/GU_NHG_03/2020|EPI_ISL_445000|2020-03-20,B.6,0.0,1.0,,,,,PANGO-v1.2.133,4.0.2,0.3.16,v0.1.4,True,pass,Ambiguous_content:0.02,Assigned from designation hash.
hCoV-19/Papua_New_Guinea/13/2020|EPI_ISL_693483|2020-10-06,B.6.8,0.02,1.0,,,,,PANGO-v1.2.133,4.0.2,0.3.16,v0.1.4,True,pass,Ambiguous_content:0.02,Assigned from designation hash.
hCoV-19/Papua_New_Guinea/35/2020|EPI_ISL_1307660|2020-12-07,B.6.8,0.28,0.91,,,,,PLEARN-v1.2.133,4.0.2,0.3.16,v0.1.4,False,pass,Ambiguous_content:0.09,Alt assignments: A.2.2;B.6;B.6.8
hCoV-19/Sweden/20-02114/2020|EPI_ISL_476139|2020-01-31,B,0.0,1.0,,,,,PANGO-v1.2.133,4.0.2,0.3.16,v0.1.4,True,pass,Ambiguous_content:0.02,Assigned from designation hash.
hCoV-19/Singapore/913/2020|EPI_ISL_538436|2020-02-20,B,0.0,1.0,,,,,PANGO-v1.2.133,4.0.2,0.3.16,v0.1.4,True,pass,Ambiguous_content:0.02,Assigned from designation hash.
hCoV-19/Cambodia/0012/2020|EPI_ISL_411902|2020-01-27,B,0.0,1.0,,,,,PANGO-v1.2.133,4.0.2,0.3.16,v0.1.4,True,pass,Ambiguous_content:0.02,Assigned from designation hash.
hCoV-19/USA/ND-UNDGC-G2021_55_16/2021|EPI_ISL_5171279|2021-02-03,B,0.0,0.99,,,,,PLEARN-v1.2.133,4.0.2,0.3.16,v0.1.4,False,pass,Ambiguous_content:0.03,
hCoV-19/USA/CA-SCCPHD-UC125/2020|EPI_ISL_435604|2020-03-06,B,0.0,0.94,,,,,PLEARN-v1.2.133,4.0.2,0.3.16,v0.1.4,False,pass,Ambiguous_content:0.08,
