taxon,lineage,conflict,ambiguity_score,scorpio_call,scorpio_support,scorpio_conflict,scorpio_notes,version,pangolin_version,scorpio_version,constellation_version,is_designated,qc_status,qc_notes,note
hCoV-19/Wuhan/Hu-1/2019|EPI_ISL_402125|2019-12-31,B,0.0,1.0,,,,,PANGO-v1.2.133,4.0.2,0.3.16,v0.1.4,True,pass,Ambiguous_content:0.02,Assigned from designation hash.
hCoV-19/Wuhan/WH01/2019|EPI_ISL_406798|2019-12-26,B,0.0,1.0,,,,,PANGO-v1.2.133,4.0.2,0.3.16,v0.1.4,True,pass,Ambiguous_content:0.02,Assigned from designation hash.
hCoV-19/Sweden/20-02114/2020|EPI_ISL_476139|2020-01-31,B,0.0,1.0,,,,,PANGO-v1.2.133,4.0.2,0.3.16,v0.1.4,True,pass,Ambiguous_content:0.02,Assigned from designation hash.
hCoV-19/Sweden/01/2020|EPI_ISL_411951|2020-02-07,B,0.0,1.0,,,,,PANGO-v1.2.133,4.0.2,0.3.16,v0.1.4,True,pass,Ambiguous_content:0.02,Assigned from designation hash.
hCoV-19/USA/CA-CDPH-UC3/2020|EPI_ISL_413559|2020-02-27,B,0.0,1.0,,,,,PANGO-v1.2.133,4.0.2,0.3.16,v0.1.4,True,pass,Ambiguous_content:0.02,Assigned from designation hash.
hCoV-19/Curacao/CW-RIVM-10100/2020|EPI_ISL_547453|2020-03-12,B.55,0.06,1.0,,,,,PANGO-v1.2.133,4.0.2,0.3.16,v0.1.4,True,pass,Ambiguous_content:0.02,Assigned from designation hash.
hCoV-19/Netherlands/NB-UMCG-MMB_2058/2020|EPI_ISL_2708986|2020-03-30,B.55,0.0,1.0,,,,,PLEARN-v1.2.133,4.0.2,0.3.16,v0.1.4,False,pass,Ambiguous_content:0.02,
hCoV-19/USA/WV-QDX-1284/2020|EPI_ISL_572053|2020-03-17,B,0.0,1.0,,,,,PANGO-v1.2.133,4.0.2,0.3.16,v0.1.4,True,pass,Ambiguous_content:0.02,Assigned from designation hash.
hCoV-19/USA/CA-QDX-2500/2020|EPI_ISL_604759|2020-03-16,B,0.05,1.0,,,,,PANGO-v1.2.133,4.0.2,0.3.16,v0.1.4,True,pass,Ambiguous_content:0.02,Assigned from designation hash.
hCoV-19/Indonesia/JK-EIJK37/2020|EPI_ISL_766046|2020-05-10,B.56,0.01,1.0,,,,,PANGO-v1.2.133,4.0.2,0.3.16,v0.1.4,True,pass,Ambiguous_content:0.02,Assigned from designation hash.
hCoV-19/Hong_Kong/CUHK-NC1679/2020|EPI_ISL_3065979|2020-03-22,B.52,0.02,0.99,,,,,PLEARN-v1.2.133,4.0.2,0.3.16,v0.1.4,False,pass,Ambiguous_content:0.02,
hCoV-19/Morocco/RA92C/2020|EPI_ISL_4299860|2020-06-17,B,0.0,1.0,,,,,PANGO-v1.2.133,4.0.2,0.3.16,v0.1.4,True,pass,Ambiguous_content:0.02,Assigned from designation hash.
hCoV-19/Iran/Urmia-931U/2020|EPI_ISL_1014684|2020-05-06,B,0.0,1.0,,,,,PANGO-v1.2.133,4.0.2,0.3.16,v0.1.4,True,pass,Ambiguous_content:0.02,Assigned from designation hash.
hCoV-19/Senegal/SN-MBO-201745/2021|EPI_ISL_1167150|2021-01-14,B,0.0,1.0,,,,,PLEARN-v1.2.133,4.0.2,0.3.16,v0.1.4,False,pass,Ambiguous_content:0.02,
hCoV-19/USA/ND-UNDGC-G2021_55_16/2021|EPI_ISL_5171279|2021-02-03,B,0.0,0.99,,,,,PLEARN-v1.2.133,4.0.2,0.3.16,v0.1.4,False,pass,Ambiguous_content:0.03,
hCoV-19/Egypt/ARMY-48/2021|EPI_ISL_1936224|2021-03-27,B,0.0,1.0,,,,,PANGO-v1.2.133,4.0.2,0.3.16,v0.1.4,True,pass,Ambiguous_content:0.02,Assigned from designation hash.
hCoV-19/Georgia/MM001523/2020|EPI_ISL_2896266|2020-04-04,B.4,0.14,1.0,,,,,PLEARN-v1.2.133,4.0.2,0.3.16,v0.1.4,False,pass,Ambiguous_content:0.02,Alt assignments: B;B.1.93;B.4
hCoV-19/Canada/Qc-LSPQ-L00210314/2020|EPI_ISL_535716|2020-02-25,B.4,0.08,1.0,,,,,PANGO-v1.2.133,4.0.2,0.3.16,v0.1.4,True,pass,Ambiguous_content:0.02,Assigned from designation hash.
hCoV-19/Bahrain/BAH-25/2020|EPI_ISL_483639|2020-04-08,B.4.2,0.05,1.0,,,,,PANGO-v1.2.133,4.0.2,0.3.16,v0.1.4,True,pass,Ambiguous_content:0.02,Assigned from designation hash.
hCoV-19/Bahrain/BAH-21/2020|EPI_ISL_483562|2020-04-05,B.4.2,0.02,1.0,,,,,PANGO-v1.2.133,4.0.2,0.3.16,v0.1.4,True,pass,Ambiguous_content:0.02,Assigned from designation hash.
hCoV-19/Fiji/FJ003/2020|EPI_ISL_4820285|2020-03-23,B.31,0.0,1.0,,,,,PLEARN-v1.2.133,4.0.2,0.3.16,v0.1.4,False,pass,Ambiguous_content:0.02,
hCoV-19/USA/NV-CDC-03068486-001/2020|EPI_ISL_424879|2020-03-09,B.40,0.0,1.0,,,,,PLEARN-v1.2.133,4.0.2,0.3.16,v0.1.4,False,pass,Ambiguous_content:0.02,
hCoV-19/Nigeria/OS016-CV3/2020|EPI_ISL_455413|2020-03-27,B.40,0.0,0.99,,,,,PANGO-v1.2.133,4.0.2,0.3.16,v0.1.4,True,pass,Ambiguous_content:0.02,Assigned from designation hash.
hCoV-19/Mongolia/3631/2020|EPI_ISL_1805651|2020-03-18,B.40,0.0,1.0,,,,,PLEARN-v1.2.133,4.0.2,0.3.16,v0.1.4,False,pass,Ambiguous_content:0.02,
hCoV-19/Philippines/PH-RITM-0108/2020|EPI_ISL_5051470|2020-03-10,B.6.6,0.02,0.97,,,,,PLEARN-v1.2.133,4.0.2,0.3.16,v0.1.4,False,pass,Ambiguous_content:0.03,Alt assignments: B.6;B.6.6
hCoV-19/Zambia/ZMB-319/2020|EPI_ISL_2803448|2020-03-26,B.6,0.01,1.0,,,,,PLEARN-v1.2.133,4.0.2,0.3.16,v0.1.4,False,pass,Ambiguous_content:0.02,Alt assignments: B.1;B.6
hCoV-19/Indonesia/SA-EIJK53/2020|EPI_ISL_574622|2020-06-17,B.6,0.15,1.0,,,,,PANGO-v1.2.133,4.0.2,0.3.16,v0.1.4,True,pass,Ambiguous_content:0.02,Assigned from designation hash.
hCoV-19/Brunei/4/2020|EPI_ISL_435676|2020-03-21,B.6.1,0.0,1.0,,,,,PANGO-v1.2.133,4.0.2,0.3.16,v0.1.4,True,pass,Ambiguous_content:0.02,Assigned from designation hash.
hCoV-19/Malaysia/MGI-MAEPS41/2020|EPI_ISL_582124|2020-06-03,B.6.2,0.0,1.0,,,,,PANGO-v1.2.133,4.0.2,0.3.16,v0.1.4,True,pass,Ambiguous_content:0.02,Assigned from designation hash.
hCoV-19/Papua_New_Guinea/2/2020|EPI_ISL_693472|2020-07-21,B.6.8,0.01,1.0,,,,,PANGO-v1.2.133,4.0.2,0.3.16,v0.1.4,True,pass,Ambiguous_content:0.02,Assigned from designation hash.
hCoV-19/Papua_New_Guinea/10/2020|EPI_ISL_693480|2020-09-28,B.6.8,0.02,1.0,,,,,PANGO-v1.2.133,4.0.2,0.3.16,v0.1.4,True,pass,Ambiguous_content:0.02,Assigned from designation hash.
